Id,Id2,Geography,Total; Estimate; All households,Total; Margin of Error; All households,Percent; Estimate; All households,Percent; Margin of Error; All households,Limited English-speaking households; Estimate; All households,Limited English-speaking households; Margin of Error; All households,Percent limited English-speaking households; Estimate; All households,Percent limited English-speaking households; Margin of Error; All households,Total; Estimate; Households speaking -- - Spanish,Total; Margin of Error; Households speaking -- - Spanish,Percent; Estimate; Households speaking -- - Spanish,Percent; Margin of Error; Households speaking -- - Spanish,Limited English-speaking households; Estimate; Households speaking -- - Spanish,Limited English-speaking households; Margin of Error; Households speaking -- - Spanish,Percent limited English-speaking households; Estimate; Households speaking -- - Spanish,Percent limited English-speaking households; Margin of Error; Households speaking -- - Spanish,Total; Estimate; Households speaking -- - Other Indo-European languages,Total; Margin of Error; Households speaking -- - Other Indo-European languages,Percent; Estimate; Households speaking -- - Other Indo-European languages,Percent; Margin of Error; Households speaking -- - Other Indo-European languages,Limited English-speaking households; Estimate; Households speaking -- - Other Indo-European languages,Limited English-speaking households; Margin of Error; Households speaking -- - Other Indo-European languages,Percent limited English-speaking households; Estimate; Households speaking -- - Other Indo-European languages,Percent limited English-speaking households; Margin of Error; Households speaking -- - Other Indo-European languages,Total; Estimate; Households speaking -- - Asian and Pacific Island languages,Total; Margin of Error; Households speaking -- - Asian and Pacific Island languages,Percent; Estimate; Households speaking -- - Asian and Pacific Island languages,Percent; Margin of Error; Households speaking -- - Asian and Pacific Island languages,Limited English-speaking households; Estimate; Households speaking -- - Asian and Pacific Island languages,Limited English-speaking households; Margin of Error; Households speaking -- - Asian and Pacific Island languages,Percent limited English-speaking households; Estimate; Households speaking -- - Asian and Pacific Island languages,Percent limited English-speaking households; Margin of Error; Households speaking -- - Asian and Pacific Island languages,Total; Estimate; Households speaking -- - Other languages,Total; Margin of Error; Households speaking -- - Other languages,Percent; Estimate; Households speaking -- - Other languages,Percent; Margin of Error; Households speaking -- - Other languages,Limited English-speaking households; Estimate; Households speaking -- - Other languages,Limited English-speaking households; Margin of Error; Households speaking -- - Other languages,Percent limited English-speaking households; Estimate; Households speaking -- - Other languages,Percent limited English-speaking households; Margin of Error; Households speaking -- - Other languages
0600000US3602516793,3602516793,"Colchester town, Delaware County, New York",851,106,(X),(X),6,8,0.7,1,20,18,2.4,2.1,0,11,0,63.7,25,17,2.9,2,6,8,24,32.3,6,9,0.7,1,0,11,0,100,0,11,0,3.5,0,11,-,**
0600000US3602519763,3602519763,"Davenport town, Delaware County, New York",1179,101,(X),(X),7,12,0.6,1,27,23,2.3,1.9,0,11,0,54.8,35,35,3,3,0,11,0,48.2,11,18,0.9,1.5,0,11,0,85.9,7,12,0.6,1,7,12,100,100
0600000US3602520137,3602520137,"Delhi town, Delaware County, New York",1480,154,(X),(X),18,15,1.2,1,24,15,1.6,1,11,11,45.8,36.3,52,24,3.5,1.7,7,11,13.5,18.9,7,9,0.5,0.6,0,11,0,100,9,10,0.6,0.6,0,11,0,95
0600000US3602520357,3602520357,"Deposit town, Delaware County, New York",731,66,(X),(X),18,16,2.5,2.2,13,11,1.8,1.5,8,7,61.5,35.1,22,17,3,2.3,10,16,45.5,44.7,0,11,0,4,0,11,-,**,7,7,1,1,0,11,0,100
0600000US3602527232,3602527232,"Franklin town, Delaware County, New York",968,91,(X),(X),4,8,0.4,0.8,26,22,2.7,2.2,0,11,0,55.9,27,18,2.8,1.9,4,8,14.8,28.7,0,11,0,3,0,11,-,**,0,11,0,3,0,11,-,**
0600000US3602531698,3602531698,"Hamden town, Delaware County, New York",517,48,(X),(X),2,4,0.4,0.7,13,10,2.5,1.9,0,11,0,79,22,19,4.3,3.7,2,4,9.1,17.2,0,11,0,5.6,0,11,-,**,2,4,0.4,0.9,0,11,0,100
0600000US3602531951,3602531951,"Hancock town, Delaware County, New York",1283,108,(X),(X),3,6,0.2,0.5,21,25,1.6,1.9,0,11,0,62.2,41,26,3.2,2,3,6,7.3,15.3,0,11,0,2.3,0,11,-,**,0,11,0,2.3,0,11,-,**
0600000US3602532281,3602532281,"Harpersfield town, Delaware County, New York",653,85,(X),(X),8,10,1.2,1.5,20,15,3.1,2.3,5,8,25,35.8,26,19,4,2.9,3,4,11.5,15,10,10,1.5,1.5,0,11,0,90.1,0,11,0,4.5,0,11,-,**
0600000US3602540068,3602540068,"Kortright town, Delaware County, New York",561,61,(X),(X),7,7,1.2,1.2,7,7,1.2,1.2,3,4,42.9,45.8,32,20,5.7,3.6,0,11,0,50.4,4,5,0.7,0.9,4,5,100,100,4,5,0.7,0.9,0,11,0,100
0600000US3602545964,3602545964,"Masonville town, Delaware County, New York",491,68,(X),(X),7,8,1.4,1.7,4,6,0.8,1.2,0,11,0,100,28,19,5.7,4,7,8,25,30.5,0,11,0,5.9,0,11,-,**,0,11,0,5.9,0,11,-,**
0600000US3602546624,3602546624,"Meredith town, Delaware County, New York",742,85,(X),(X),3,4,0.4,0.6,14,10,1.9,1.3,0,11,0,76.1,44,23,5.9,3,3,4,6.8,10.6,36,33,4.9,4.5,0,11,0,47.5,0,11,0,4,0,11,-,**
0600000US3602547031,3602547031,"Middletown town, Delaware County, New York",1772,169,(X),(X),24,20,1.4,1.1,149,48,8.4,2.6,10,10,6.7,7.1,74,42,4.2,2.3,5,8,6.8,10.4,9,14,0.5,0.8,9,14,100,95,30,43,1.7,2.5,0,11,0,52
0600000US3602564001,3602564001,"Roxbury town, Delaware County, New York",1005,119,(X),(X),0,11,0,2.9,4,7,0.4,0.7,0,11,0,100,79,42,7.9,4.1,0,11,0,30.6,6,8,0.6,0.8,0,11,0,100,0,11,0,2.9,0,11,-,**
0600000US3602567345,3602567345,"Sidney town, Delaware County, New York",2396,170,(X),(X),60,73,2.5,3,75,77,3.1,3.2,47,62,62.7,54.4,53,41,2.2,1.7,13,21,24.5,38.2,17,28,0.7,1.2,0,16,0,69.1,0,16,0,1.2,0,16,-,**
0600000US3602570629,3602570629,"Stamford town, Delaware County, New York",1000,92,(X),(X),0,11,0,3,19,14,1.9,1.4,0,11,0,65.4,33,17,3.3,1.7,0,11,0,49.6,24,23,2.4,2.3,0,11,0,58.2,0,11,0,3,0,11,-,**
0600000US3602574111,3602574111,"Tompkins town, Delaware County, New York",419,72,(X),(X),0,11,0,6.9,0,11,0,6.9,0,11,-,**,13,15,3.1,3.6,0,11,0,79,0,11,0,6.9,0,11,-,**,0,11,0,6.9,0,11,-,**
0600000US3602578047,3602578047,"Walton town, Delaware County, New York",2261,197,(X),(X),0,16,0,1.3,63,54,2.8,2.4,0,16,0,35.6,81,69,3.6,3,0,16,0,30,0,16,0,1.3,0,16,-,**,0,16,0,1.3,0,16,-,**
0600000US3602701693,3602701693,"Amenia town, Dutchess County, New York",1654,187,(X),(X),18,21,1.1,1.3,63,61,3.8,3.7,0,11,0,35.6,94,55,5.7,3.4,9,15,9.6,15.9,0,11,0,1.8,0,11,-,**,9,15,0.5,0.9,9,15,100,95
